Banda de frecuencia,Duración(ms),
7800-8000,131.8,
8001-8200,112.6,
8201-8400,124.8,
8401-8600,134.8,
8601-8800,126.4,
8801-9000,150.3,
9001-9200,142.4,
9200-9400,165.7,
9401-9600,160.4,
,,
